filial_id,produto_id,descricao,estoque,preco_unitario,preco_compra,preco_venda,idfornecedor
1,P1,Produto 1,88,"42,65","144,13","40,79",F8
1,P2,Produto 2,28,"79,52","103,56","174,18",F9
1,P3,Produto 3,40,"119,5","24,14","60,69",F10
1,P4,Produto 4,73,"89,67","7,75","226,5",F11
1,P5,Produto 5,97,"135,99","36,18","89,92",F12
1,P6,Produto 6,38,"161,31","55,37","95,6",F13
1,P7,Produto 7,131,"153,82","14,04","46,64",F7
1,P8,Produto 8,71,"140,57","149,5","95,28",F17
1,P9,Produto 9,2,"30,88",137,"164,32",F18
1,P10,Produto 10,38,"115,71","27,77","87,7",F19
1,P11,Produto 11,154,"147,99","29,39","44,95",F1
1,P12,Produto 12,78,"32,47","64,63","276,58",F2
1,P13,Produto 13,79,"194,04","58,3","99,05",F3
1,P14,Produto 14,9,"199,56","56,8","80,74",F4
1,P15,Produto 15,131,"101,15","107,6","29,24",F5
1,P16,Produto 16,177,"24,64","75,94","278,88",F6
1,P17,Produto 17,105,"195,63","126,25","183,92",F7
1,P18,Produto 18,198,"162,2","134,12","105,61",F18
1,P19,Produto 19,148,"184,36","121,69","234,58",F19
1,P20,Produto 20,196,"52,04","124,87","157,93",F20
