venda_id,data_emissao,horariomov,produto_id,qtde_vendida,valor_unitario,filial_id,item,unidade_medida
1,1/11/2025,08:00:00,P1,5,"78,93",1,1,UN
2,3/2/2025,08:00:00,P2,7,"92,96",1,1,UN
3,1/28/2025,08:00:00,P3,9,"197,61",1,1,UN
4,1/10/2025,08:00:00,P4,"38,6","139,71",1,1,UN
5,1/11/2025,08:00:00,P5,3,"126,79",1,1,UN
6,1/24/2025,08:00:00,P6,2,"36,83",1,1,UN
7,2/22/2025,08:00:00,P7,5,"40,75",1,1,UN
8,1/26/2025,08:00:00,P8,"20,04","51,37",1,1,UN
9,1/17/2025,08:00:00,P9,6,"172,55",1,1,UN
10,1/3/2025,08:00:00,P10,90,"44,22",1,1,UN
11,1/8/2025,08:00:00,P11,6,"190,37",1,1,UN
12,1/21/2025,08:00:00,P12,"2,86","136,4",1,1,UN
13,1/24/2025,08:00:00,P13,13,"61,85",1,1,UN
14,2/7/2025,08:00:00,P14,53,"106,3",1,1,UN
15,2/20/2025,08:00:00,P15,27,"43,4",1,1,UN
16,2/17/2025,08:00:00,P16,"37,11","14,41",1,1,UN
17,2/22/2025,08:00:00,P17,3,"139,8",1,1,UN
18,2/18/2025,08:00:00,P18,5,"185,23",1,1,UN
19,2/20/2025,08:00:00,P19,10,"182,51",1,1,UN
20,2/28/2025,08:00:00,P20,2,"68,54",1,1,UN
21,1/24/2025,08:00:00,P21,25,"61,85",1,1,UN
22,2/7/2025,08:00:00,P22,6,"106,3",1,1,UN
23,2/20/2025,08:00:00,P23,7,"43,4",1,1,UN
24,2/17/2025,08:00:00,P24,4,"14,41",1,1,UN
25,2/22/2025,08:00:00,P25,8,"139,8",1,1,UN
26,2/18/2025,08:00:00,P26,"3,11","185,23",1,1,UN
27,2/20/2025,08:00:00,P27,3,"182,51",2,1,UN
28,3/28/2025,08:00:00,P28,6,"68,54",3,1,UN
29,3/17/2025,08:00:00,P24,5,"14,41",1,1,UN
30,3/22/2025,08:00:00,P25,3,"139,8",1,1,UN
31,3/18/2025,08:00:00,P26,4,"185,23",1,1,UN
32,3/20/2025,08:00:00,P27,2,"182,51",2,1,UN
33,3/28/2025,08:00:00,P28,1,"68,54",3,1,UN
